Intent,Question,Answer
prevention and protection,What type of cloth face covering should be worn?,Cloth face coverings can be made from household items or made at home from common materials at low cost.
prevention and protection,Who should not wear cloth face coverings?,"Cloth face coverings should not be placed on young children younger than 2 years of age, anyone who has trouble breathing, or is unconscious, incapacitated or otherwise unable to remove the cover without assistance."
prevention and protection,Why is CDC recommending cloth face coverings instead of medical grade facemasks?,"Surgical masks and N95 respirators are in short supply and should be reserved for healthcare workers or other medical first responders, as recommended by CDC guidance."
general,What actions should I take to plan for an outbreak?,"Creating an emergency plan for mass gatherings and large community events, such as concerts and sporting events, can help protect the health of your staff, attendees, and the local community. This planning should include:Encouraging staff and attendees to stay home if sick.Developing flexible refund policies for attendees.Providing supplies for attendees and staff that can be used to help prevent the spread of germs.Consulting local public health officials about your event."
spread,What actions can staff and attendees take to prevent the spread of COVID-19?,"Encourage staff and attendees to takeeveryday preventive actionsto help prevent the spread of respiratory illnesses, such as COVID-19. This includes:Cleaning your hands often.Avoiding close contactwith people who are sick.Staying home when you are sick.Covering coughs and sneezes with a tissue or the inside of your elbow.Cleaning and disinfecting frequently touched surfaces."
prevention and protection,What steps should I take if an attendee or staff person develops symptoms of COVID-19 while at the event?,"If a staff member or attendee becomes sick at your event, separate them from others as soon as possible and until they can go home. Provide them with clean,disposable facemaskspdf iconpdf iconto wear, if available. If not available, provide them with a tissue or some other way to cover their coughs and sneezes. If needed, contact emergency services for those who need emergency care. Public transportation, shared rides, and taxis should be avoided for sick persons. Be sure to contact local public health officials regarding the possible case of COVID-19 at your event and how to communicate with staff and attendees about possible exposure to the virus. Read more aboutpreventing the spread of COVID-19 if someone is sick."
prevention and protection,What is the best way to clean and disinfect the event space after a confirmed case of COVID-19 at my event?,CDC has guidance for cleaning and disinfecting rooms and areas where a person with suspected or confirmed COVID-19 has visited. SeeEnvironmental Cleaning and Disinfection Recommendations.
service,When does CDC recommend that I cancel or postpone an event?,"If there is minimal or moderate spread of COVID-19 in the community, CDC recommends cancelling an:event that includes 250 people or more.3/16/20 UPDATE:During the next 15 days, all U.S. events of 10+ people should be cancelled or held virtually.More Information on Mass GatheringsRead the White House noticepdf iconexternal iconpdf iconexternal iconevent likely to have 10 or more people who are at higher risk of serious COVID-19 illness. This includes older adults and people with underlying health problems such as lung or heart disease and diabetes.If there is substantial spread of COVID-19 in the community, CDC recommends cancelling events of any size. See page 9 of CDCâ€™s Community Mitigation Framework or definitions of â€œminimal, moderate, and substantial spreadpdf iconpdf icon.â€"
info,What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as thecoronaviruses that commonly circulate among humansand cause mild illness, like the common cold.A diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with common coronavirus diagnosis."
info,"Why is the disease being called coronavirus disease 2019, COVID-19?","On February 11, 2020 the World Health Organizationannouncedan official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, â€˜COâ€™ stands for â€˜corona,â€™ â€˜VIâ€™ for â€˜virus,â€™ and â€˜Dâ€™ for disease. Formerly, this disease was referred to as â€œ2019 novel coronavirusâ€ or â€œ2019-nCoVâ€.There are many typesÂ of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO)best practiceexternal iconexternal iconfor naming of new human infectious diseases."
mental health and fitness,Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about getting the disease from these people. Fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals.Stigma is discrimination against an identifiable group of people, a place, or a nation. Stigma is associated with a lack of knowledge about how COVID-19 spreads, a need to blame someone, fears about disease and death, and gossip that spreads rumors and myths.Stigma hurts everyone by creating more fear or anger toward ordinary people instead of focusing on the disease that is causing the problem."
mental health and fitness,How can people help stop stigma related to COVID-19?,People can fight stigma by providing social support in situations where you notice this is occurring. Stigma affects the emotional ormental healthof stigmatized groups and the communities they live in. Stopping stigma is important to making communities and community members resilient. Seeresources on mental health and coping during COVID-19. Everyone can help stop stigma related to COVID-19 byknowing the factsand sharing them with others in your community.
info,Why do the number of cases for previous days increase?,"Delays in reporting can cause the number of COVID-19 cases reported on previous days to increase. (Sometimes this effect is described as â€œbackfill.â€) State, local, and territorial health departments report the number of cases that have been confirmed and share these data with CDC. Since it takes time to conduct laboratory testing, cases from a previous day may be added to the daily counts a few days late."
info,What is the source of the virus?,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and may different species of animals, including camels, cattle, cats, and bats. Â Rarely, animal coronaviruses can infect people and then spread between people. This occurred withMERS-CoVandSARS-CoV, and now with the virus that causes COVID-19. The SARS-CoV-2 virus is a betacoronavirus, like MERS-CoV and SARS-CoV. All three of these viruses have their origins in bats. The sequences from U.S. patients are similar to the one that China initially posted, suggesting a likely single, recent emergence of this virus from an animal reservoir. However, the exact source of this virus is unknown.More information about the source and spread of COVID-19 is available on theSituation Summary: Source and Spread of the Virus."
spread,How does the virus spread?,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).COVID-19 seems to be spreading easily and sustainably in the community (â€œcommunity spreadâ€) inmany affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.Learn what is known about thespread of newly emerged coronaviruses."
general,Why are we seeing a rise in cases?,Thenumber of cases of COVID-19being reported in the United States is rising due toincreased laboratory testingand reporting across the country. The growing number of cases in part reflects the rapid spread of COVID-19 as many U.S. states and territories experience community spread. More detailed and accurate data will allow us to better understand and track the size and scope of the outbreak and strengthen prevention and response efforts.
info,Can someone who has had COVID-19 spread the illness to others?,"The virus that causes COVID-19 isspreading from person-to-person. People are thought to be most contagious when they are symptomatic (the sickest). That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others. More recently the virus has also been detected in asymptomatic persons.How long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test-based or non-test-based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials. The decision involves considering the specifics of each situation, including disease severity, illness signs and symptoms, and the results of laboratory testing for that patient.Learn more aboutCDCâ€™s guidance on when to release someone from isolationand discharge hospitalized patients with COVID-19. For information on when someone who has been sick with COVID-19 is able to stop home isolation seeInterim Guidance for Discontinuation of In-Home Isolation for Patients with COVID-19.Someone who has been released from isolation is not considered to pose a risk of infection to others."
info,Can someone who has been quarantined for COVID-19 spread the illness to others?,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure because the incubation period for this virus is 2 to 14 days. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period."
info,"Can the virus that causes COVID-19 be spread through food, including restaurant take out, refrigerated or frozen packaged food?","Coronaviruses are generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for at least 20 seconds for general food safety. Throughout the day use a tissue to cover your coughing or sneezing, and wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.It may be possible that a person can get COVID-19 by touching a surface or object, like a packaging container, that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from food products or packaging.Learn what is known about thespread of COVID-19."
info,Can I get sick with COVID-19 if it is on food?,"Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through food â€“ additional investigation is needed."
myth,Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature affect the spread of COVID-19. Some other viruses, like those that cause the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months.Â  There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing."
general,What is community spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected."
myth,What temperature kills the virus that causes COVID-19?,"Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments. However, we donâ€™t have direct data for this virus, nor do we have direct data for a temperature-based cutoff for inactivation at this point. The necessary temperature would also be based on the materials of the surface, the environment, etc. Regardless of temperature please followCDCâ€™s guidance for cleaning and disinfection."
myth,Can mosquitoes or ticks spread the virus that causes COVID-19?,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. SeeHow Coronavirus Spreadsfor more information."
general,Am I at risk for COVID-19 in the United States?,This is a rapidly evolving situation and therisk assessmentmay change daily. The latest updates are available on CDCâ€™s Coronavirus Disease 2019 (COVID-19) website.
general,How many cases have been reported in the United States?,COVID-19 case counts for the United States are updated regularly online. See thecurrent U.S. case count of COVID-19.
prevention and protection,How can I help protect myself?,"Visit theCOVID-19 Prevention and Treatmentpage to learn about how to protect yourself from respiratory illnesses, like COVID-19."
prevention and protection,What should I do if I have had close contact with someone who has COVID-19?,"There is information forpeople who have had close contactwith a person confirmed to have, or being evaluated for, COVID-19 available online."
spread,"Am I at risk for COVID-19 from mail, packages, or products?","There is still a lot that is unknown about COVID-19 and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.Learn more aboutsafe handling of deliveries and mail."
general,Is it okay for me to donate blood?,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time."
prevention and protection,Should contact lens wearers take special precautions to prevent COVID-19?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.Contact lens wearers should continue topractice safe contact lens wear and care hygiene habitsto help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional.Find more information abouthow coronavirus spreadsandhow to protect yourself.VisitCDCâ€™s contact lens websitefor more information on healthy contact lens wear and care."
cure,Is contact lens disinfecting solution effective against COVID-19?,"Hydrogen peroxide-based systemsfor cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19.For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientific evidence to determine efficacy against the virus.Always use solutionto disinfect your contact lenses and case to kill germs that may be present.Handle your lenses over a surface that has been cleaned and disinfected.Find more information abouthow coronavirus spreadsandhow to protect yourself.VisitCDCâ€™s contact lens websitefor more information on healthy contact lens wear and care."
"child,women,pet",What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is at higher risk for severe illness from COVID-19 atPeople who are at higher risk for severe illness."
"child,women,pet",How can I protect my child from COVID-19 infection?,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy.Avoid close contact with people who are sick.Stay home when you are sick, except to get medical care.Cover your coughs and sneezes with a tissue and throw the tissue in the trash.Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).Launder items, including washable plush toys, as appropriate and in accordance with the manufacturerâ€™s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other peopleâ€™s items.You can find additional information on preventing COVID-19 atPrevention for 2019 Novel Coronavirusand atPreventing COVID-19 Spread in Communities. Additional information on how COVID-19 is spread is available atHow COVID-19 Spreads.More information onChildren and Coronavirus Disease 2019 (COVID-19)is available online."
"child,women,pet",Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. Itâ€™s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children."
"child,women,pet",Should children wear masks?,"CDC recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community. Cloth face coverings should NOT be put on babies or children younger than 2 because of the danger of suffocation. Children younger than 2 years of age are listed as an exception as well as anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the face covering without assistance.Wearing cloth face coverings is a public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning ,and other everyday preventive actions. A cloth face covering is not intended to protect the wearer but may prevent the spread of virus from the wearer to others. This would be especially important if someone is infected but does not have symptoms. Medical face masks and N95 respirators are still reserved for healthcare personnel and other first responders, as recommended by current CDC guidance."
"child,women,pet",How do I prepare my children in case of COVID-19 outbreak in our community?,"Outbreaks can be stressful for adults and children. Talk with your children about the outbreak, try to stay calm, and reassure them that they are safe. If appropriate, explain to them that most illness from COVID-19 seems to be mild.Children respond differently to stressful situations than adults. CDC offersresourcesto help talk with children about COVID-19."
"child,women,pet",What steps should parents take to protect children during a community outbreak?,"This is a new virus and we are still learning about it, but so far, there does not seem to be a lot of illness in children. Most illness, including serious illness, is happening in adults of working age and older adults. However, children do get the virus and become ill. Many schools across the country have announced dismissals for temporary periods. Keep track of school dismissals in your community. Read or watch local media sources that report school dismissals. If schools are dismissed temporarily, use alternative childcare arrangements, if needed.If your child/children become sick with COVID-19, notify their childcare facility or school. Talk with teachers about classroom assignments and activities they can do from home to keep up with their schoolwork.Discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of COVID-19 in the community."
"child,women,pet","While schools out, can my child hang out with their friends?","The key to slowing the spread of COVID-19 is to practice social distancing. While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household.To help children maintain social connections while social distancing, help your children have supervised phone calls or video chats with their friends.Make sure children practiceeveryday preventive behaviors, such as washing their hands often with soap and water. Remember, if children meet outside of school in groups, it can put everyone at risk.Revise spring break plans if they included non-essential travel.Information aboutCOVID-19 in childrenis somewhat limited, but current data suggest children with COVID-19 may have only mild symptoms. However, they can still pass this virus onto others who may be at higher risk, includingolder adults and people who have serious underlying medical conditions."
"child,women,pet","While schools out, how can I help my child continue learning?","Stay in touch with your childâ€™s school.Many schools are offering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers.Communicate challenges to your school. If you face technology or connectivity issues, or if your child is having a hard time completing assignments, let the school know.Create a schedule and routine for learning at home, but remain flexible.Have consistent bedtimes, and get up at the same time, Monday through Friday.Structure the day for learning, free time, healthy meals and snacks, and physical activity.Allow flexibility in the scheduleâ€”itâ€™s okay to adapt based on your day.Consider the needs and adjustment required for your childâ€™s age group.The transition to being at home will be different for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school.Consider ways your child can stay connected with their friends without spending time in person.Look for ways to make learning fun.Have hands-on activities, like puzzles, painting, drawing, and making things.Independent play can also be used in place of structured learning. Encourage children to build a fort from sheets or practice counting by stacking blocks.Practice handwriting and grammar by writing letters to family members. This is a great way to connect and limit face-to-face contact.Start a journal with your child to document this time and discuss the shared experience.Use audiobooks or see if your local library is hosting virtual or live-streamed reading events."
"child,women,pet","While schools out, will kids have access to meals?",Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.
"child,women,pet","While schools out, how can I keep my family healthy?","Watch your child for any signs of illness.If you see any sign of illness consistent withsymptoms of COVID-19, particularly fever, cough, or shortness of breath, call your healthcare provider and keep your child at home and away from others as much as possible. Follow CDCâ€™s guidance on â€œWhat to do if you are sick.â€Watch for signs of stress in your child.Some common changes to watch for include excessive worry or sadness, unhealthy eating or sleeping habits, and difficulty with attention and concentration. For more information, see the â€œFor Parentsâ€ section on CDCâ€™s website,Manage Anxiety and Stress.Take time to talk with your child or teen about the COVID-19 outbreak. Answer questions andshare factsabout COVID-19 in a way that your child or teen can understand.Go to CDCâ€™sHelping Children Cope with EmergenciesorTalking with Children About COVID-19for more information.Teach and reinforceeveryday preventive actions.Parents and caretakers play an important role in teaching children to wash their hands. Explain that hand washing can keep them healthy and stop the virus from spreading to others.Be a good role modelâ€”if you wash your hands often, theyâ€™re more likely to do the same.Makehandwashing a family activity.Help your child stay active.Encourage your child to play outdoorsâ€”itâ€™s great for physical and mental health. Take a walk with your child or go on a bike ride.Use indoor activity breaks (stretch breaks, dance breaks) throughout the day to help your child stay healthy and focused.Help your child stay socially connected.Reach out to friends and family via phone or video chats.Write cards or letters to family members they may not be able to visit.Some schools and non-profits, such as theCollaborative for Academic, Social, and Emotional Learningexternal iconexternal iconandThe Yale Center for Emotional Intelligenceexternal iconexternal icon, have resources for social and emotional learning. Check to see if your school has tips and guidelines to help support social and emotional needs of your child."
"child,women,pet","While schools out, limit time with older adults, including relatives, and people with chronic medical conditions.","Older adults and people who have serious underlying medical conditionsare at highest risk of getting sick from COVID-19.If others in your home are at particularlyhigh risk for severe illness from COVID-19, consider extra precautions to separate your child from those people.If you are unable to stay home with your child during school dismissals, carefully consider who might be best positioned to provide childcare. If someone at higher risk for COVID-19 will be providing care (older adult, such as a grandparent or someone with a serious underlying medical condition), limit your childrenâ€™s contact with other people.Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail."
"child,women,pet",Is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from COVID-19?,"Children with complex, chronic medical conditions, including children with physical, developmental, behavioral, or emotional differences, can have special healthcare needs. Itâ€™s not known yet whether all of these children are at higher risk for severe illness from COVID-19.Although most COVID-19 cases in children are not severe, serious illness that needs to be treated at the hospital still happens. Some data on children reported that the majority who needed hospitalization for COVID-19 had at least one underlying medical condition. The most common underlying conditions reported among children with COVID-19 include chronic lung disease (including asthma), heart disease, and conditions that weaken the immune system. This information suggests that children with these underlying medical conditions may be at risk for more severe illness from COVID-19.More data are needed to learn which underlying or complex medical conditions may put children at increased risk. CDC is monitoring new information as it becomes available and will provide updates as needed.Learn more about caring forchildren with special health care needs during a disasterandpeople who are at higher risk for severe illness from COVID-19."
"child,women,pet",What additional steps should families that have a child with an underlying medical condition or special health care need take?,"In addition to following the recommendations toprevent getting sickandrunning essential errands, families should take extra steps recommended for persons withhigher risk of severe COVID-19 illnessand steps outlined for those withpotential COVID-19 exposure or confirmed illness.Identify potential alternative caregivers, if you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers would not be athigher risk of severe illness from COVID-19themselves.Try to have at least one month of medication and medical supplies on hand. Some health plans allow for a 90-day supply of prescription medications. Consider discussing this option with your childâ€™s healthcare provider.Review any care plans for your child, such as an asthma action plan, and make sure caregivers and backup caregivers are familiar with these plans.If you do not havecare plans or an emergency notebook, try to make them. They typically include important information about your childâ€™s medical conditions, how to manage those conditions, how to get in touch with your childâ€™s doctors, allergies, information on medications (names, dosages, and administration instructions), preferences (food and other) or special needs, daily routines and activities, friends, and details about routines that are important to support behavioral and emotional health.Learn if your childâ€™s healthcare providers, including doctors and therapists, have new ways to be contacted or new ways of providing appointments. If they offer telemedicine visits, find out how those are arranged and any additional information you need.If your child receives any support care services in the home that need to be continued, make plans for what you will do if those direct care providers get sick, or if persons in your household are sick.Discuss with the support care agencies and the providers ways to minimize risk for exposure to the virus that causes COVID-19.If your child or other persons in your household are sick with COVID-19 and are able to recover at home, inform your direct care providers and consider postponing or rescheduling services until the criteria fordiscontinuing home isolationhave been met.Ask service providers if they are experiencing anysymptoms of COVID-19, or if they have been in contact with someone who has COVID-19.Tell the service provider to:Wear acloth face coveringif they will be close (less than 6 feet) to you or persons in your household. Their cloth face covering helps protect you if they are infected but do not have symptoms.Ask them to wash their hands with soap and water or, if unavailable, use hand sanitizer with at least 60% alcohol when they enter your home, before and after helping your child (dressing, bathing/showering, transferring, toileting and/or diapering, feeding), after handling tissues, and after changing linens or doing laundry.Learn more about proper handwashing.Service providers and families should:Routinely clean and disinfect frequently touched objects and surfaces (counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, bedside tables), and equipment such as wheelchairs, scooters, walkers, oxygen tanks and tubing, communication boards, and other assistive devices. Refer to CDCâ€™s recommendations forCleaning and Disinfecting Your Home."
"child,women,pet",What can I do if my child has difficulties adjusting to new routines and following recommendations?,"Helping children understand and follow recommendations, like social distancing andwearing cloth face coverings, can be challenging if your child has intellectual disabilities, sensory issues, or other special healthcare needs.Keeping children at home and sheltering in place can lower stress created by social distancing and cloth face covering recommendations. Reach out to others for help in running essential errands.Behavioral techniques can be used to address behavioral challenges and to develop new routines. These include social stories, video modeling, picture schedules, and visual cues. Try rewarding your child in small ways with his or her favorite non-food treat or activities to help switch routines and to follow recommendations.Many of the organizations you turn to for information and support around your childâ€™s complex, chronic medical condition may have information on their websites to help families address issues related to COVID-19.Your childâ€™s therapist(s) and/or teachers may also have resources to help successfully introduce new routines to your child.Additional information oncaring for childrenand onchild development specific conditionsare available."
mental health and fitness,How can my family cope with the added stress?,"Supporting children with special healthcare needs can put additional demands and stress on families, especially during emergency situations. You have likely found ways to manage the stress and challenges unique to your familyâ€™s situation. It is important to continue your familyâ€™s coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past.See information on ways to cope with stress (such asvisiting parks, trails, or open spaces) andmaking your family stronger.If you, or someone you care about, are feeling overwhelmed with emotions like sadness, depression, or anxiety, or feel like you want to harm yourself or others:Call 911Visit theDisaster Distress Helplineexternal icon, call 1-800-985-5990, or text TalkWithUs to 66746Visit theNational Domestic Violence Hotlineexternal iconor call 1-800-799-7233 and TTY 1-800-787-3224"
